first,last,Tossing_Percentage
Carlos,Marmol,0.13068
Clayton,Kershaw,0.15888
David,Robertson,0.16516
Yu,Darvish,0.19626
Stephen,Strasburg,0.19828
Tyler,Clippard,0.22752
Grant,Balfour,0.23397
Joaquin,Benoit,0.23840
Chris,Sale,0.25496
John,Axford,0.25650
Fernando,Rodney,0.26273
Justin,Verlander,0.26443
Jonathan,Papelbon,0.27130
Gio,Gonzalez,0.27250
Brandon,Beachy,0.27666
Francisco,Rodriguez,0.28263
Felix,Hernandez,0.28355
Jose,Veras,0.29120
Joel,Peralta,0.29423
David,Hernandez,0.29515
Luke,Gregerson,0.30409
Jered,Weaver,0.31024
Cliff,Lee,0.31089
Cole,Hamels,0.32734
David,Price,0.32843
Adam,Wainwright,0.33172
Tim,Lincecum,0.33692
Sam,LeCure,0.33851
Madison,Bumgarner,0.34024
Mat,Latos,0.34161
Matt,Moore,0.34526
Max,Scherzer,0.34554
Josh,Johnson,0.34893
Roy,Halladay,0.35364
Matt,Cain,0.35701
Alex,Cobb,0.35970
Anibal,Sanchez,0.36100
Francisco,Liriano,0.36229
C.J.,Wilson,0.36380
Heath,Bell,0.36413
Hisashi,Iwakuma,0.36606
Kris,Medlen,0.37643
Lance,Lynn,0.38291
Clay,Buchholz,0.38954
Johnny,Cueto,0.39218
Zack,Greinke,0.39668
Andrew,Cashner,0.39916
Yovani,Gallardo,0.39997
Jon,Lester,0.40384
Tim,Stauffer,0.40567
Josh,Collmenter,0.40932
James,Shields,0.41358
Alexi,Ogando,0.41590
Ubaldo,Jimenez,0.41677
Tim,Hudson,0.42378
Jordan,Zimmermann,0.42472
Jeff,Samardzija,0.42702
Chad,Billingsley,0.43063
Hiroki,Kuroda,0.43135
Justin,Masterson,0.43345
Brett,Anderson,0.43387
CC,Sabathia,0.43545
Brandon,Morrow,0.43704
Jarrod,Parker,0.43735
Matt,Garza,0.43878
Joe,Kelly,0.43907
Colby,Lewis,0.43926
Jonathan,Sanchez,0.44008
Chris,Carpenter,0.44011
R.A.,Dickey,0.44131
Jhoulis,Chacin,0.44407
Patrick,Corbin,0.44444
Ryan,Vogelsong,0.44801
Andy,Pettitte,0.44864
Johan,Santana,0.44947
Doug,Fister,0.44961
Jaime,Garcia,0.45000
Homer,Bailey,0.45361
Ian,Kennedy,0.45434
Tyson,Ross,0.45733
Felipe,Paulino,0.45794
Craig,Breslow,0.45814
Jorge,"de la Rosa",0.45899
Marco,Estrada,0.45942
Brad,Ziegler,0.45955
Travis,Wood,0.46085
Tom,Gorzelanny,0.46093
Mike,Minor,0.46297
Tommy,Hanson,0.46365
Edward,Mujica,0.46464
Jim,Johnson,0.46813
Ryan,Dempster,0.46892
Ricky,Romero,0.47170
Roy,Oswalt,0.47184
Daniel,Hudson,0.47202
Trevor,Cahill,0.47468
A.J.,Burnett,0.47681
Mitchell,Boggs,0.48303
Jake,Peavy,0.48406
Wandy,Rodriguez,0.48426
Craig,Stammen,0.48460
Scott,Baker,0.48470
Ted,Lilly,0.48655
Nathan,Eovaldi,0.49064
Wade,Miley,0.49237
Erik,Bedard,0.49262
Miguel,Gonzalez,0.49488
Carlos,Villanueva,0.49538
James,McDonald,0.49581
Bud,Norris,0.49648
Jose,Quintana,0.49679
Jonathon,Niese,0.49739
Jeff,Niemann,0.49796
Derek,Holland,0.50017
Dan,Haren,0.50117
Bartolo,Colon,0.50376
Ivan,Nova,0.50421
Manny,Parra,0.50732
Gavin,Floyd,0.50885
Matt,Belisle,0.50951
Dillon,Gee,0.51002
Jeremy,Hellickson,0.51053
Shaun,Marcum,0.51067
Edinson,Volquez,0.51211
Hisanori,Takahashi,0.51271
Jamey,Wright,0.51358
Wilton,Lopez,0.51534
Carlos,Zambrano,0.51727
Ervin,Santana,0.51929
Chris,Capuano,0.52051
Josh,Beckett,0.52358
Brandon,League,0.52709
Felix,Doubront,0.52781
Wei-Yin,Chen,0.52960
Matt,Harrison,0.52992
Alfredo,Aceves,0.53072
Chad,Gaudin,0.53149
Vance,Worley,0.53452
Jason,Vargas,0.53518
Chris,Tillman,0.53586
J.A.,Happ,0.53739
Brandon,McCarthy,0.53802
Wade,Davis,0.53976
Ross,Detwiler,0.54135
Edwin,Jackson,0.54582
Kyle,Lohse,0.54830
Randall,Delgado,0.55093
Tom,Milone,0.55367
Jason,Hammel,0.55625
Chris,Narveson,0.56312
John,Danks,0.56448
Daisuke,Matsuzaka,0.56477
Alfredo,Simon,0.56618
Ricky,Nolasco,0.56642
Eric,Stults,0.56727
Brett,Myers,0.56998
Kyle,McClellan,0.57074
Brett,Cecil,0.57171
Ryan,Webb,0.57203
Phil,Coke,0.57944
Aaron,Harang,0.58027
Paul,Maholm,0.58029
Javier,Vazquez,0.58238
John,Lackey,0.58320
Jon,Garland,0.58321
Bruce,Chen,0.58349
Luke,Hochevar,0.58798
Phil,Hughes,0.58910
Zach,McAllister,0.59080
Barry,Zito,0.59109
Brian,Matusz,0.59162
Jair,Jurrjens,0.59242
Mark,Buehrle,0.59497
Burke,Badenhop,0.59553
Mike,Leake,0.59680
Matt,Albers,0.59804
Mike,Pelfrey,0.59824
Lucas,Harrell,0.60351
Scott,Kazmir,0.60417
Charlie,Morton,0.60471
Zachary,Britton,0.60733
Jake,Westbrook,0.60793
John,Lannan,0.60955
Juan,Nicasio,0.60961
